date,fundlabel,nav
2005-01-24,COVERCALL,1e6
2005-01-25,COVERCALL,1002805
2005-01-26,COVERCALL,1005780
2005-01-27,COVERCALL,1007480
2005-01-28,COVERCALL,1007480
2005-01-31,COVERCALL,1013260
2005-02-01,COVERCALL,1017722.5
2005-02-02,COVERCALL,1020145
2005-02-03,COVERCALL,1018785
2005-02-04,COVERCALL,1025330
2005-02-07,COVERCALL,1024820
2005-02-08,COVERCALL,1025797.5
2005-02-09,COVERCALL,1022185
2005-02-10,COVERCALL,1025202.5
2005-02-11,COVERCALL,1029495
2005-02-14,COVERCALL,1029792.5
2005-02-15,COVERCALL,1032130
2005-02-16,COVERCALL,1031960
2005-02-17,COVERCALL,1030005
2005-02-18,COVERCALL,1032527.375
2005-02-22,COVERCALL,1033377.375
2005-02-23,COVERCALL,1039902.375
2005-02-24,COVERCALL,1045687.875
2005-02-25,COVERCALL,1052343.375
2005-02-28,COVERCALL,1047775.875
2005-03-01,COVERCALL,1051473.375
2005-03-02,COVERCALL,1050951.375
2005-03-03,COVERCALL,1051821.375
2005-03-04,COVERCALL,1058868.375
2005-03-07,COVERCALL,1059607.875
2005-03-08,COVERCALL,1059085.875
2005-03-09,COVERCALL,1052256.375
2005-03-10,COVERCALL,1054605.375
2005-03-11,COVERCALL,1049385.375
2005-03-14,COVERCALL,1055475.375
2005-03-15,COVERCALL,1048080.375
2005-03-16,COVERCALL,1039641.375
2005-03-17,COVERCALL,1041729.375
2005-03-18,COVERCALL,1038908.4
2005-03-21,COVERCALL,1035950.4
2005-03-22,COVERCALL,1026815.4
2005-03-23,COVERCALL,1027685.4
2005-03-24,COVERCALL,1029120.9
2005-03-28,COVERCALL,1030817.4
2005-03-29,COVERCALL,1024248.9
2005-03-30,COVERCALL,1037951.4000000001
2005-03-31,COVERCALL,1036037.4
2005-04-01,COVERCALL,1031861.4000000001
2005-04-04,COVERCALL,1033818.9
2005-04-05,COVERCALL,1038690.9
2005-04-06,COVERCALL,1042475.4
2005-04-07,COVERCALL,1047825.9
2005-04-08,COVERCALL,1037255.4
2005-04-11,COVERCALL,1038038.4
2005-04-12,COVERCALL,1043345.4
2005-04-13,COVERCALL,1031165.4
2005-04-14,COVERCALL,1017854.4
2005-04-15,COVERCALL,1004040.975
2005-04-18,COVERCALL,1007303.475
2005-04-19,COVERCALL,1015437.975
2005-04-20,COVERCALL,1003605.975
2005-04-21,COVERCALL,1018917.975
2005-04-22,COVERCALL,1016612.4749999999
2005-04-25,COVERCALL,1021919.475
2005-04-26,COVERCALL,1015350.975
2005-04-27,COVERCALL,1018395.975
2005-04-28,COVERCALL,1007520.975
2005-04-29,COVERCALL,1018830.975
2005-05-02,COVERCALL,1024050.975
2005-05-03,COVERCALL,1025573.475
2005-05-04,COVERCALL,1031010.975
2005-05-05,COVERCALL,1030880.475
2005-05-06,COVERCALL,1029618.975
2005-05-09,COVERCALL,1034447.4749999999
2005-05-10,COVERCALL,1027530.975
2005-05-11,COVERCALL,1032228.975
2005-05-12,COVERCALL,1023615.975
2005-05-13,COVERCALL,1022484.975
2005-05-16,COVERCALL,1031445.975
2005-05-17,COVERCALL,1036709.475
2005-05-18,COVERCALL,1041798.975
2005-05-19,COVERCALL,1043321.475
2005-05-20,COVERCALL,1043856.525
2005-05-23,COVERCALL,1043421.525
2005-05-24,COVERCALL,1041638.025
2005-05-25,COVERCALL,1040855.025
2005-05-26,COVERCALL,1045988.025
2005-05-27,COVERCALL,1047728.025
2005-05-31,COVERCALL,1041464.025
2005-06-01,COVERCALL,1049903.025
2005-06-02,COVERCALL,1052165.025
2005-06-03,COVERCALL,1047510.525
2005-06-06,COVERCALL,1046771.025
2005-06-07,COVERCALL,1047554.025
2005-06-08,COVERCALL,1045857.525
2005-06-09,COVERCALL,1051034.025
2005-06-10,COVERCALL,1048598.025
2005-06-13,COVERCALL,1051904.025
2005-06-14,COVERCALL,1054340.025
2005-06-15,COVERCALL,1056341.025
2005-06-16,COVERCALL,1059038.025
2005-06-17,COVERCALL,1063170.525
2005-06-20,COVERCALL,1063736.025
2005-06-21,COVERCALL,1064562.525
2005-06-22,COVERCALL,1065650.025
2005-06-23,COVERCALL,1051425.525
2005-06-24,COVERCALL,1043987.025
2005-06-27,COVERCALL,1045466.025
2005-06-28,COVERCALL,1054166.025
2005-06-29,COVERCALL,1051382.025
2005-06-30,COVERCALL,1045727.0250000001
2005-07-01,COVERCALL,1048772.025
2005-07-05,COVERCALL,1057124.025
2005-07-06,COVERCALL,1048337.025
2005-07-07,COVERCALL,1052426.025
2005-07-08,COVERCALL,1064345.025
2005-07-11,COVERCALL,1069739.025
2005-07-12,COVERCALL,1072523.025
2005-07-13,COVERCALL,1074002.025
2005-07-14,COVERCALL,1078178.025
2005-07-15,COVERCALL,1077801.75
2005-07-18,COVERCALL,1073973.75
2005-07-19,COVERCALL,1078989.75
2005-07-20,COVERCALL,1082245.75
2005-07-21,COVERCALL,1076789.75
2005-07-22,COVERCALL,1083345.75
2005-07-25,COVERCALL,1080925.75
2005-07-26,COVERCALL,1082245.75
2005-07-27,COVERCALL,1085765.75
2005-07-28,COVERCALL,1091089.75
2005-07-29,COVERCALL,1085105.75
2005-08-01,COVERCALL,1084753.75
2005-08-02,COVERCALL,1089945.75
2005-08-03,COVERCALL,1092409.75
2005-08-04,COVERCALL,1085809.75
2005-08-05,COVERCALL,1079737.75
2005-08-08,COVERCALL,1077933.75
2005-08-09,COVERCALL,1084445.75
2005-08-10,COVERCALL,1083917.75
2005-08-11,COVERCALL,1088009.75
2005-08-12,COVERCALL,1081981.75
2005-08-15,COVERCALL,1088669.75
2005-08-16,COVERCALL,1074501.75
